Staff,01/10/2026,02/10/2026,03/10/2026,04/10/2026,05/10/2026,06/10/2026,07/10/2026,08/10/2026,09/10/2026,10/10/2026,11/10/2026,12/10/2026,13/10/2026,14/10/2026,15/10/2026,16/10/2026,17/10/2026,18/10/2026,19/10/2026,20/10/2026,21/10/2026,22/10/2026,23/10/2026,24/10/2026,25/10/2026,26/10/2026,27/10/2026,28/10/2026,29/10/2026,30/10/2026,31/10/2026,01/11/2026,02/11/2026,03/11/2026,04/11/2026,05/11/2026,06/11/2026,07/11/2026,08/11/2026,09/11/2026,10/11/2026,11/11/2026,12/11/2026,13/11/2026,14/11/2026,15/11/2026,16/11/2026,17/11/2026,18/11/2026,19/11/2026,20/11/2026,21/11/2026,22/11/2026,23/11/2026,24/11/2026,25/11/2026,26/11/2026,27/11/2026,28/11/2026,29/11/2026,30/11/2026
Alpha,9ab,9ab,,,go,go (call),go,go,go,,,leave,leave,subobs,subobs,subobs (call),,,subobs,subobs,leave,subobs (call),subobs,, (call),bg,bg,bg,bg,bg,, (call),ds,ds,ds,ds,leave,,,9ab,9ab (call),9ab,leave,9ab,,,b1,b1,b1,b1,b1,,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover,, (call),ds
Bravo,go,go (call),,,leave,leave,leave,ds,ds,, (call),ds,ds,ds,ds,ds,, (call),subobs,subobs,subobs,subobs,leave,,,9ab,9ab,9ab,9ab,9ab,,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover,, (call),b1,b1,b1,b1,b1,,,subobs (call),subobs,subobs,subobs,subobs (call),,,9ab,9ab,9ab,9ab,leave,,,bg (call)
Charlie,b1,b1,,,leave,b1,b1 (call),b1,b1, (call),,go,go,go,go,go,,,9ab,9ab (call),9ab,9ab,9ab,,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover, (call),,subobs,subobs,subobs,subobs (call),subobs,,,ds,ds,ds,ds,leave,,,leave,leave,leave,leave,ds,,,bg (call),bg,bg,bg,bg, (call),,subobs
Delta,ps_cover,ps_cover,, (call),subobs,subobs,subobs,subobs,subobs,,,9ab (call),9ab,9ab,9ab,9ab, (call),,9ab,9ab,9ab,9ab,9ab, (call),,ds,ds (call),ds,leave,ds,,,bg,bg,bg,bg,bg,,,subobs (call),subobs,subobs,subobs,subobs,,,leave,leave,leave,go,leave,,,leave,ds,ds,ds,ds, (call),,b1
Echo,bg,bg, (call),,9ab,9ab,9ab,9ab,9ab,,,leave,leave,leave,leave,subobs,,,leave,ds,ds,leave,ds,,,9ab (call),9ab,9ab,9ab,9ab (call),,,subobs (call),subobs,subobs,leave,subobs,,,ds,ds,ds,ds (call),ds,, (call),subobs,subobs,subobs,subobs,subobs,, (call),go,go,go,go,go,,,ps_cover
Foxtrot,ds,leave,,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover (call),,,bg,bg,bg,bg,bg,, (call),go,go,go,go,go, (call),,b1,b1,b1 (call),b1,b1,,,leave,leave,leave,subobs,subobs, (call),,9ab,9ab,leave,9ab,9ab, (call),,ds,ds,ds,ds (call),ds,,,subobs,subobs,subobs,subobs,subobs (call),,,9ab
Golf,subobs,subobs,, (call),b1,leave,leave,leave,leave,,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover,,,b1 (call),b1,b1,b1,b1,,,ds,ds,leave,ds (call),ds,,,go,go,go,go,go,,,bg,bg,bg (call),bg,bg,, (call),9ab,9ab,9ab (call),9ab,9ab, (call),,subobs,leave,subobs,subobs,subobs,,,ds
Hotel,leave,ds,,,bg,bg,bg,bg,bg,,,subobs,subobs (call),subobs,subobs,leave,,,ds,leave,ds (call),ds,ds,,,leave,subobs,subobs,leave,leave,,,9ab,9ab,9ab,9ab,9ab, (call),,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover, (call),,go,go (call),go,leave,go,,,b1,b1,b1 (call),b1,b1,, (call),go
India,subobs,subobs, (call),,ds,ds,ds,ds,ds,,,subobs,subobs,subobs,subobs (call),subobs,,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover (call),,,go,go,go,go,go, (call),,b1,b1 (call),b1,b1,b1,,,leave,leave,9ab,9ab,leave,,,bg,bg,bg,bg,bg, (call),,9ab,9ab (call),9ab,leave,9ab,,,9ab
Juliet,subobs,subobs,,,9ab,9ab,9ab,9ab (call),9ab,, (call),b1,b1,b1,b1,b1, (call),,bg,bg,bg,bg,bg,, (call),subobs,leave,subobs,subobs,leave,,,ds,ds,ds,ds,ds (call),,,go,go,go,go,go (call),,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover,,,leave,leave,leave,9ab (call),9ab,,,subobs
Kilo,9ab (call),9ab,,,subobs (call),subobs,subobs,subobs,subobs, (call),,9ab,9ab,9ab (call),9ab,9ab,,,subobs,subobs,subobs,leave,leave,,,leave,subobs,subobs,subobs,subobs,, (call),9ab,9ab,9ab (call),9ab,9ab,, (call),subobs,subobs,subobs,subobs,subobs,,,9ab,9ab,9ab,9ab,9ab,, (call),ds,ds,leave,ds,ds,,,leave
