Staff,1/11/26,2/11/26,3/11/26,4/11/26,5/11/26,6/11/26,7/11/26,8/11/26,9/11/26,10/11/26,11/11/26,12/11/26,13/11/2026,14/11/2026,15/11/2026,16/11/2026,17/11/2026,18/11/2026,19/11/2026,20/11/2026,21/11/2026,22/11/2026,23/11/2026,24/11/2026,25/11/2026,26/11/2026,27/11/2026,28/11/2026,29/11/2026,30/11/2026
Alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie,,team_go,,,,,,,team_go,,,,,,,team_go,,,,,,,team_go,,,,,,,team_go
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxtrot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juliet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
