Staff,01/10/2026,02/10/2026,03/10/2026,04/10/2026,05/10/2026,06/10/2026,07/10/2026,08/10/2026,09/10/2026,10/10/2026,11/10/2026,12/10/2026,13/10/2026,14/10/2026,15/10/2026,16/10/2026,17/10/2026,18/10/2026,19/10/2026,20/10/2026,21/10/2026,22/10/2026,23/10/2026,24/10/2026,25/10/2026,26/10/2026,27/10/2026,28/10/2026,29/10/2026,30/10/2026,31/10/2026,01/11/2026,02/11/2026,03/11/2026,04/11/2026,05/11/2026,06/11/2026,07/11/2026,08/11/2026,09/11/2026,10/11/2026,11/11/2026,12/11/2026,13/11/2026,14/11/2026,15/11/2026,16/11/2026,17/11/2026,18/11/2026,19/11/2026,20/11/2026,21/11/2026,22/11/2026,23/11/2026,24/11/2026,25/11/2026,26/11/2026,27/11/2026,28/11/2026,29/11/2026,30/11/2026
Alpha,b1,b1,,,9ab,9ab,9ab,9ab,9ab,,,leave,subobs,subobs,subobs,subobs (call),,,leave,ds,ds,ds (call),ds,, (call),9ab,9ab,9ab,9ab,9ab, (call),,subobs,subobs,leave,subobs,subobs,,,leave,leave,9ab,leave,9ab,,,ds,ds (call),ds,ds,ds,, (call),subobs,subobs,subobs (call),subobs,subobs, (call),,bg
Bravo,go,go (call),,,subobs,subobs,subobs,subobs,leave,,,leave,9ab (call),9ab,9ab,9ab,,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover,, (call),bg,bg,bg,bg,bg,, (call),9ab,9ab,9ab,9ab (call),9ab,,,leave,ds (call),ds,ds,ds,,,subobs,subobs,leave,subobs,subobs,, (call),b1,b1,b1,b1,b1,,,go
Charlie,bg,bg,,,9ab,9ab,9ab,9ab,9ab,, (call),9ab,9ab,9ab (call),9ab,9ab,,,ds,leave,leave,leave,leave,,,subobs (call),subobs,subobs,leave,subobs,,,go,go,go,go,go, (call),,subobs,subobs,subobs (call),subobs,subobs, (call),,leave,ds,ds,ds,ds, (call),,ds,ds,leave,ds,ds (call),,,subobs
Delta,leave,subobs,,,ds (call),ds,leave,leave,leave,,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover,,,9ab,9ab,9ab (call),9ab,9ab, (call),,ds,leave,ds,ds,ds, (call),,subobs,subobs,subobs,subobs,subobs, (call),,b1,b1,b1,b1,b1 (call),,,bg,bg,bg (call),bg,bg, (call),,go,go,go,go,go,,,b1
Echo,9ab,9ab,,,bg,bg,bg (call),bg,bg, (call),,b1,b1,b1,b1 (call),b1,, (call),subobs,subobs,leave,subobs,subobs,,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover,,,leave,leave,subobs,subobs,subobs,, (call),ds,ds,ds,ds,ds,,,go,go,go,go,go,,,9ab (call),9ab,9ab,9ab (call),9ab,,,leave
Foxtrot,ps_cover,ps_cover,, (call),b1,b1,b1,b1,b1,,,go,go,go,go,go, (call),,bg,bg,bg,bg,bg (call),,,9ab,9ab,9ab,9ab (call),9ab,,,ds,ds,ds (call),ds,leave,,,subobs,leave,subobs,subobs (call),subobs,,,leave,leave,leave,leave,ps_cover,,,subobs,leave,subobs,subobs,subobs, (call),,ps_cover
Golf,ds,ds, (call),,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover,,,subobs,leave,subobs,leave,leave,,,b1,b1 (call),b1,b1,b1,,,leave,subobs,subobs (call),subobs,subobs,,,ds,ds,ds,leave,ds,,,go (call),go,go,go,go,, (call),9ab,9ab,9ab,9ab (call),9ab,,,bg,bg,bg,bg,bg,, (call),9ab
Hotel,subobs,leave,,,leave,subobs,subobs,subobs,subobs, (call),,ds,ds,ds,ds,ds, (call),,subobs,subobs,subobs,subobs,subobs,,,subobs,subobs,subobs,subobs,leave,,,9ab,9ab (call),9ab,9ab,9ab,,,9ab,9ab,9ab,9ab,leave,,,9ab (call),9ab,9ab,9ab,9ab (call),,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover,,,ds (call)
India,ds,ds,, (call),subobs,subobs,subobs,subobs (call),subobs,,,9ab,leave,leave,leave,leave,,,9ab,9ab,9ab,9ab,9ab, (call),,go,go (call),go,go,go (call),,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover,,,bg,bg,bg,bg,bg,,,b1,b1,b1,b1,b1,,,leave,ds,ds,ds,ds,, (call),subobs
Juliet,9ab,9ab, (call),,go,go (call),go,go,go (call),,,ds (call),ds,ds,ds,ds,, (call),subobs,subobs,subobs,subobs,leave,,,b1,b1,b1,b1,b1,,,bg (call),bg,bg,bg,bg,, (call),9ab,9ab,leave,9ab,9ab, (call),,ps_cover,ps_cover,ps_cover,ps_cover,leave,,,subobs,subobs,subobs,leave,leave,,,ds
Kilo,subobs (call),subobs,,,leave,leave,ds,ds,ds,, (call),bg,bg,bg,bg,bg,,,go (call),go,go,go,go,,,ds,ds,leave,ds,ds,, (call),b1,b1,b1,b1,b1 (call),,,ps_cover,ps_cover,ps_cover,ps_cover,ps_cover,, (call),subobs,subobs,subobs,subobs,subobs,,,9ab,9ab (call),9ab,9ab,9ab,,,9ab
