Staff,01/10/2026,02/10/2026,03/10/2026,04/10/2026,05/10/2026,06/10/2026,07/10/2026,08/10/2026,09/10/2026,10/10/2026,11/10/2026,12/10/2026,13/10/2026,14/10/2026,15/10/2026,16/10/2026,17/10/2026,18/10/2026,19/10/2026,20/10/2026,21/10/2026,22/10/2026,23/10/2026,24/10/2026,25/10/2026,26/10/2026,27/10/2026,28/10/2026,29/10/2026,30/10/2026,31/10/2026
Alpha,team_ds,team_ds (auto),,,team_b1 (auto),team_b1 (auto),team_b1 (auto),team_b1 (auto),team_b1 (auto),,,team_subobs,team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),,,team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),,,ps_cover (auto),ps_cover (auto),ps_cover (auto),ps_cover (auto),ps_cover (auto),
Bravo,team_subobs,team_subobs (auto),,,team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),,,team_bg (auto),team_bg (auto),team_bg (auto),team_bg (auto),team_bg (auto),,,team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),,,team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),
Charlie,team_subobs,team_subobs (auto),,,team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),,,team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),,,team_go (auto),team_go (auto),team_go (auto),team_go (auto),team_go (auto),,,team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),
Delta,team_go (auto),team_go (auto),,,team_bg (auto),team_bg (auto),team_bg (auto),team_bg (auto),team_bg (auto),,,team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),,,ps_cover (auto),ps_cover (auto),ps_cover (auto),ps_cover (auto),ps_cover (auto),,,team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),
Echo,team_b1 (auto),team_b1 (auto),,,ps_cover (auto),ps_cover (auto),ps_cover (auto),ps_cover (auto),ps_cover (auto),,,team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),,,team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),,,team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),
Foxtrot,team_subobs (auto),team_subobs (auto),,,team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),,,team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),,,team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),,,team_go (auto),team_go (auto),team_go (auto),team_go (auto),team_go (auto),
Golf,team_9ab (auto),team_9ab (auto),,,team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),,,ps_cover (auto),ps_cover (auto),ps_cover (auto),ps_cover (auto),ps_cover (auto),,,team_bg (auto),team_bg (auto),team_bg (auto),team_bg (auto),team_bg (auto),,,team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),
Hotel,team_9ab (auto),team_9ab (auto),,,team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),,,team_b1 (auto),team_b1 (auto),team_b1 (auto),team_b1 (auto),team_b1 (auto),,,team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),,,team_bg (auto),team_bg (auto),team_bg (auto),team_bg (auto),team_bg (auto),
India,team_bg (auto),team_bg (auto),,,team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),,,team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),,,team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),,,team_b1 (auto),team_b1 (auto),team_b1 (auto),team_b1 (auto),team_b1 (auto),
Juliet,ps_cover (auto),ps_cover (auto),,,team_go (auto),team_go (auto),team_go (auto),team_go (auto),team_go (auto),,,team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),,,team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),team_ds (auto),,,team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),
Kilo,team_ds (auto),team_ds (auto),,,team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),team_9ab (auto),,,team_go (auto),team_go (auto),team_go (auto),team_go (auto),team_go (auto),,,team_b1 (auto),team_b1 (auto),team_b1 (auto),team_b1 (auto),team_b1 (auto),,,team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),team_subobs (auto),
